Name,Symptoms
Rashes in babies and children,"a high temperature, a runny or blocked nose, sneezing, a cough, red, sore, watery eyes"
Bone cyst,"numbness or tingling, if the cyst affects your spine, a break (fracture), sometimes from a relatively minor injury, ray for another reason"
Mucocele,"painless swelling, usually on the lower lip or floor of the mouth"
Botulism,"drooping eyelids, blurred ordouble vision, facial muscle weakness, difficulty swallowing (dysphagia), slurred speech, breathing difficulties"
Scabies,"intense itching, especially at night, small blisters or bumps"
Pinguecula,"yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea"
Brucellosis,"a high temperature, loss of appetite, sweating, headaches, extreme tiredness, back and joint pain"
Anemia of Chronic Disease,"fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance"
Poisoning due to Antidepressants,"nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress"
Zika virus,"a high temperature, a headache, sore, red eyes, swollen joints and joint and muscle pain, a rash and itching all over the body"
Kyphosis,"back painand stiffness, tenderness of the spine, tiredness"
Strep A,"sore throat(strep throat ortonsillitis), a rash that feels rough, like sandpaper (scarlet fever), scabs and sores (impetigo), pain and swelling (cellulitis), severe muscle aches, nausea and vomiting"
Neurofibromatosis type 2,"hearing lossthat gradually gets worse over time, hearingringing or buzzing in the ears (tinnitus)"
Laryngitis,"a hoarse (croaky) voice, sometimes losing your voice, an irritating cough that does not go away, always needing to clear your throat, a sore throat"
Cellulitis,"redness, pain, tenderness, swelling, skin changes, lymph node enlargement"
Glaucoma,"coloured circles around bright lights, intense eye pain, nausea and vomiting, ared eye, aheadache, tenderness around the eyes, seeing rings around lights, blurred vision"
Stroke,speech problems  you may slur your words or sound confused
Urinary Stones (Kidney Stones),"severe abdominal or back pain, blood in urine, frequent urination, pain during urination"
Liver cancer,"loss of appetite orlosing weight without trying to, feeling tired or having no energy, feeling generally unwell or having symptoms like flu, a lump in the right side of your tummy, feeling or being sick, symptoms ofindigestion, such as feeling full very quickly when eating"
Diabetic retinopathy,"blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss"
Ehlers Danlos syndromes,"an increased range of joint movement (joint hypermobility), stretchy skin, fragile skin that breaks or bruises easily"
Pelvic inflammatory disease,"pain around the pelvis or lower tummy, pain when peeing, bleeding between periods and after sex, heavy periods, painful periods, unusualvaginal discharge, especially if it's yellow, green or smelly, severe pain in the tummy, a high temperature (fever), feeling and being sick"
Mpox,"a high temperature (fever), a headache, muscle aches, backache, swollen glands, shivering (chills), exhaustion, joint pain"
Congenital Glaucoma,"cloudy or hazy eyes, excessive tearing, sensitivity to light"
