Name,Symptoms
Dementia,"memory loss, difficulty concentrating, struggling to follow a conversation or find the right word, being confused about time and place, mood changes"
Anal cancer,"bleeding from your bottom, itching andpain around your anus, small lumps around and inside your bottom, a discharge of mucus from your bottom, having problems controlling when you poo (bowel incontinence), needing to poo often with looser, runnier poos"
Alcohol poisoning,"confusion, slurring words or being unable to speak, being sick, peeing or pooing yourself, slow or irregular breathing, having a seizure or fit, loss of consciousness"
Abdominal aortic aneurysm,"tummy or back pain, a pulsing feeling in your tummy"
Achalasia,"bringing back up undigested food, choking and coughing fits, heartburn, chest pain, repeatedchest infections, drooling of vomit or saliva, gradual but significantweight loss"
Reflux in babies,"coughing or hiccupping when feeding, being unsettled during feeding, swallowing or gulping after burping or feeding, crying and not settling, not gaining weight as they're not keeping enough food down"
Acne,"face  this affects almost everyone with acne, back  this affects more than half of people with acne, chest  this affects about 15 of people with acne"
Acoustic neuroma (vestibular schwannoma),"hearing lossthat usually only affects 1 ear, hearing sounds that come from inside the body (tinnitus), the sensation that you're moving or spinning (vertigo), persistentheadaches, temporary blurred ordouble vision, numbness, pain or weakness on 1 side of the face, voice changes ordifficulty swallowing (dysphagia)"
Acromegaly,"swollen hands and feet, tiredness or difficulty sleeping, sleep apnoea, sweating, numbness and weakness in your hands, abnormal height growth in children and teenagers (gigantism), headaches, joint pain, thicker, more oily skin, a deeper voice, irregular periods, erection problems"
Acupuncture,"joint and muscle pain, jaw pain, cancer symptoms such as pain, feeling sick or being sick after surgery"
Acute cholecystitis,"a high temperature, feeling sick, being sick, sweating, loss of appetite, yellowing of the skin and the whites of the eyes(jaundice), a bulge in the tummy"
Acute kidney injury,"feeling sick or being sick, diarrhoea, dehydration, peeing less than usual, confusion, drowsiness"
Acute lymphoblastic leukaemia,"feeling tired or weak, bleeding or bruising easily or for no reason, looking more pale than usual, a high temperature, swollen glands (usually in the neck, armpits and groin), pain in the bones or joints, loss of appetite or losing weight without trying, shortness of breath, a headache, being sick, blurred vision, fits (seizures), a cough, swollen veins in the neck or chest"
Acute myeloid leukaemia,"looking pale or washed out, feeling tired or weak, breathlessness, frequent infections, losing weight without trying to"
Acute pancreatitis,"feeling or being sick, a high temperature of 38c or more (fever)"
Acute respiratory distress syndrome (ARDS),"shortness of breath, taking short, fast breaths"
Addison's disease,"lack of energy or motivation (fatigue), muscle weakness, low mood, loss of appetite and unintentional weight loss, increased thirst"
Adenomyosis,"painful periods, heavy bleeding during your period, pelvic pain (pain in the lower part of your tummy), bloating, heaviness or fullness in your tummy (abdomen), pain during sex"
ADHD in adults,"being easily distracted or forgetful, finding it hard to organise your time, finding it hard to follow instructions or finish tasks, losing things often, like your wallet, mobile or keys, having a lot of energy or feeling restless, being very talkative or interrupting conversations, impulsive type some only show signs of one type"
ADHD in children and young people,"being easily distracted, having high energy levels, fidgeting or tapping their hands and feet, talking noisily, finding it hard to wait their turn, or interrupting conversations, impulsive type some only show signs of one type"
What is AMD? Age related macular degeneration (AMD),"seeing straight lines as wavy or crooked, being sensitive to bright light, seeing flickering or flashing lights, seeing things that are not there (hallucinations)"
Alcohol misuse,"hand tremors  the shakes, sweating, seeing things that are not real (visualhallucinations), depression, anxiety, difficulty sleeping(insomnia)"
Alcohol related liver disease,"feeling sick, weight loss, loss of appetite, yellowing of the whites of the eyes or skin (jaundice), swelling in the ankles and tummy, confusion or drowsiness, vomiting blood or passing blood in your stools"
Allergic rhinitis,"sneezing, an itchy nose, a runny or blocked nose, itchy, red and watery eyes, a cough, the roof of your mouth being itchy"
Allergies,"a runny nose or sneezing, pain or tenderness around your cheeks, eyes or forehead, coughing, wheezing or breathlessness, itchy skin or a raised rash (hives), diarrhoea, feeling or being sick, swollen eyes, lips, mouth or throat"
Altitude sickness,"a headache, loss of appetite, feeling or being sick, feeling tired or exhausted, dizziness, difficulty sleeping, threatening"
Alzheimer's disease,"confusion, disorientation and getting lost in familiar places, difficulty planning or making decisions, problems with speech and language, problems moving around without assistance or performing selfcare tasks, low mood or anxiety"
Lazy eye,"shutting 1 eye or squinting when looking at things, eyes pointing in different directions (asquint), tilting your head when looking at something, having tired eyes and rubbing your eyes a lot, headaches, difficulty catching or throwing, tripping or falling over a lot, blinking a lot"
Amyloidosis,"feeling very tired or weak, losing weight without trying to, shortness of breath, swollen feet or legs, bruising around your eyes, frothy pee, if your kidneys are affected"
Anabolic steroid misuse,"depressionand apathy, feelings of anxiety, difficulty concentrating, insomnia, anorexia, decreased sex drive, extreme tiredness (fatigue), headaches, muscle and joint pain"
Iron deficiency anaemia,"tiredness and lack of energy, shortness of breath, noticeable heartbeats (heart palpitations), paler than usual skin, headaches"
Vitamin B12 or folate deficiency anaemia,"extreme tiredness, a lack of energy, pins and needles, a sore and red tongue, mouth ulcers, muscle weakness, problems with your vision, problems with memory, understanding and judgement"
Anal fistula,"skin irritation around the anus, smelly discharge from near your anus, passing pus or blood when you poo, difficulty controlling bowel movements (bowel incontinence) in some cases"
Anaphylaxis,"swelling of your throat and tongue, difficulty breathing or breathing very fast, difficulty swallowing, tightness in your throat or a hoarse voice, wheezing, coughing or noisy breathing, feeling tired or confused, feeling faint, dizzy or fainting, skin that feels cold to the touch"
Brain aneurysm,"a stiff neck, sickness and vomiting, pain on looking at light"
Angina,"make you feel sick, breathless, dizzy or sweaty"
Ankylosing spondylitis,"back pain and stiffness, extreme tiredness (fatigue)"
Antiphospholipid syndrome (APS),"balance and mobility problems, vision problems, such asdouble vision, speech and memory problems, a tingling sensation orpins and needlesin your arms or legs, fatigue (extreme tiredness), repeatedheadachesormigraines"
Aphasia,"repeating, mixing up or missing out words, making up words or sounds, difficulty reading or writing"
Appendicitis,"feeling or being sick, or loss of appetite, a high temperature, constipation or diarrhoea, peeing more than usual, sudden confusion (in older people)"
Heart rhythm problems (arrhythmia),"short of breath, lightheaded, dizzy or like you might faint, tired, chest pain or discomfort"
Arthritis,"joint pain, tenderness and stiffness, inflammation in and around the joints, restricted movement of the joints, warm red skin over the affected joint, weakness and muscle wasting"
Asbestosis,"shortness of breath, persistent cough, wheezing, extreme tiredness (fatigue), pain in your chest or shoulder, in more advanced cases, clubbed (swollen) fingertips"
Aspergillosis,"shortness of breath, wheezing, a high temperature, losing weight without trying, feeling tired"
Asthma,"wheezing, coughing, shortness of breath, your chest feeling tight, threatening"
Astigmatism,"blurred vision, headaches"
Ataxia,"increasingly slurred, slow and unclear speech (dysarthria), difficulty swallowing (dysphagia), abnormal curvature of the spine (scoliosis), total or partialvision lossandhearing loss, diabetes, loss of sensation in the hands and feet (peripheral neuropathy)"
Atherosclerosis,"chest pain, pain in your arms and legs, especially when exercising, feeling short of breath, feeling tired all the time, feeling weak, feeling confused"
Atrial fibrillation,"an irregular heartbeat, where your pulse is not steady, a heartbeat faster than 100 beats per minute, feeling very tired, finding it harder to exercise, chest pain or tightness, up or when you're having tests for something else"
Autosomal dominant polycystic kidney disease,"a persistentheadache, blurred ordouble vision, nosebleeds, shortness of breath"
Autosomal recessive polycystic kidney disease,"a dry mouth and lips, sunken features (particularly the eyes), headaches, dizziness, irritability"
Bird flu,"a very high temperature or feeling hot or shivery, aching muscles, headache, a cough or shortness of breath, diarrhoea, sickness, stomach pain, chest pain, bleeding from the nose and gums, conjunctivitis"
Balanitis,"pain when peeing, a thick discharge that comes from under your foreskin, bleeding around your foreskin, an unpleasant smell"
Behçet's disease,"genital and mouth ulcers, red, painful eyes and blurred vision, acnelike spots, headaches, painful, stiff and swollen joints, threatening problems, such as permanentvision lossandstrokes"
Bell's palsy,"a drooping eyelid or corner of your mouth, drooling, a dry mouth, loss of taste, a dry or watering eye"
Non cancerous (benign) brain tumours,"seizures (fits), feeling sick (nausea) and being sick (vomiting), feeling sleepy or dizzy, changes in your eyesight, such as blurred or double vision, problems with speech, movement and balance"
Enlarged prostate,"feeling like you cannot fully empty your bladder, dribbling pee after you finish peeing"
Bile duct cancer (cholangiocarcinoma),"itchy skin, darker pee and paler poo than usual, loss of appetite orlosing weight without trying to, feeling generally unwell, feeling tired or having no energy, a high temperature, or you feel hot or shivery, feeling or being sick, pain in your tummy"
Schistosomiasis (bilharzia),"a high temperature (fever), an itchy, red, blotchy and raised rash, acough, diarrhoea, muscle andjoint pain, tummy pain, a general sense of feeling unwell, term problems"
Bladder cancer,"a need to urinate on a more frequent basis, sudden urges to urinate, a burning sensation when passing urine"
Bladder pain syndrome (interstitial cystitis),"intensepelvic pain(felt over your lower tummy), sudden strong urges to pee, needing to pee more often than usual, waking up several times during the night to pee"
Bladder stones,"pain or difficulty when peeing, peeing more frequently (particularly at night), cloudy or darkcoloured urine, blood in the urine"
Blepharitis,"sore eyelids, itchy eyes, a gritty feeling in the eyes, flakes or crusts around the roots of the eyelashes, eyelids sticking together in the morning when you wake up"
Bloating,"your tummy feels full or bigger than usual, you have tummy pain or discomfort, your tummy is rumbling or making noises, you're farting more than usual"
Low blood pressure (hypotension),"lightheadedness or dizziness, feeling sick, blurred vision, generally feeling weak, confusion, fainting"
Bone cancer,"a noticeable lump over a bone, a weak bone that breaks (fractures) more easily than normal, problems moving around  for example, walking with a limp"
Bone cyst,"numbness or tingling, if the cyst affects your spine, a break (fracture), sometimes from a relatively minor injury, ray for another reason"
Botulism,"drooping eyelids, blurred ordouble vision, facial muscle weakness, difficulty swallowing (dysphagia), slurred speech, breathing difficulties"
Bowel cancer,"blood in your poo, which may look red or black, bleeding from your bottom, tummy pain, a lump in your tummy, bloating, losing weight without trying, feeling very tired for no reason"
Bowel incontinence,"poo leaking out without you being able to stop it, seeing streaks or stains of poo in your underwear"
Bowel polyps,"bleeding from your bottom, losing weight without trying"
Bowen's disease,"scaly or crusty, flat or raised, up to a few centimetres across, itchy (but not all the time)"
Brain abscess,"changes in mental state  such as confusion or irritability, a high temperature, seizures (fits), feeling sick, being sick, stiff neck"
Subarachnoid haemorrhage,"a sudden severeheadacheunlike anything youve experienced before, a stiff neck, feeling and being sick, sensitivity to light (photophobia), blurred ordouble vision, loss of consciousness or convulsions (uncontrollable shaking)"
Malignant brain tumour (brain cancer),"fits (seizures), regularly feeling sick (vomiting), memory problems or changes in personality, weakness, vision problems or speech problems that get worse"
Brain tumours,"headaches, seizures (fits), persistently feeling sick (nausea), being sick (vomiting) and drowsiness, progressive weakness orparalysison one side of the body, vision or speech problems"
Breast abscess,"a lump or swelling in your breast, a high temperature, feeling generally unwell"
Breast cancer in men,"a lump or swelling in your chest or armpit, sores or ulcers on your chest"
Breast cancer in women,"a lump, or swelling in your breast, chest or armpit"
Broken collarbone,"chest pain, difficulty breathing, coughing up blood"
Broken hip,"pain in the hip or upper leg, swelling and bruising around your hip and upper leg, difficulty moving your hip and leg"
Broken nose,"pain, swelling and bruising, a crunching or crackling sound when you touch your nose, difficulty breathing through your nose  it might feel blocked"
Broken or bruised ribs,"swelling or tenderness around the affected ribs, sometimes bruising on the skin, feeling or hearing a crack if it's a broken rib"
Bronchiectasis,"a persistentcoughthat usually brings up phlegm (sputum), shortness of breath"
Bronchiolitis,"breathing more quickly, finding it difficult to feed or eat, noisy breathing (wheezing), becoming irritable"
Bronchitis,"chest pain when coughing, shortness of breath, a sore throat, a runny nose, a high temperature"
Brucellosis,"a high temperature, loss of appetite, sweating, headaches, extreme tiredness, back and joint pain"
Brugada syndrome,"faintingor blackouts, feeling dizzy or lightheaded, heart palpitations, seizures or fits, shortness of breath"
Teeth grinding (bruxism),"face, neck and shoulder pain, headaches, earache, disturbed sleep"
Bulging eyes (exophthalmos),"pain or problems closing your eyes or moving them around, your eyes hurt when looking at bright lights"
Burns and scalds,"coughing, a sore throat, difficulty breathing, facial burns"
Cancer,"a lump that suddenly appears on your body, unexplained bleeding, changes to your bowel habits, cancerous health conditions"
Carbon monoxide poisoning,"headache, dizziness, feeling sick or being sick, feeling weak, confusion, chest and muscle pain, shortness of breath"
Carotid endarterectomy,"numbness or weakness in your face, arm or leg, speech problems, loss of vision in 1 eye"
Carpal tunnel syndrome,"an ache or pain in your fingers, hand or arm, numb hands, tingling or pins and needles, a weak thumb or difficulty gripping"
Cataracts in adults,"blurred vision, difficulty seeing at night, difficulty reading and watching television, looking at 1 object but seeing 2 (double vision), seeing glowing rings (halos) around lights, colours look faded, especially blue"
Childhood cataracts,term vision problems
Catarrh,"a constantly blocked nose, a crackling feeling in your ears"
Cavernoma,"bleeding (haemorrhage), fits (seizures), headaches, weakness, numbness, tiredness,memory problemsand difficulty concentrating, a type ofstrokecalled a haemorrhagic stroke, lasting problems"
Cavernous sinus thrombosis,"a sharp and severeheadache, particularly around the eye, swelling and bulging of the eye(s) and the surrounding tissues, eye pain that's often severe, double vision, a high temperature"
Cerebral palsy,"seeming too stiff or too floppy, weak arms or legs, fidgety, jerky or clumsy movements, random, uncontrolled movements, walking on tiptoes"
Cervical cancer,"changes to your vaginal discharge, pain during sex"
Charcot Marie Tooth disease,appearing unusually clumsy and accidentprone for their age
Chest infection,"a chestycough you may cough up green or yellow mucus, wheezing and shortness of breath, chest pain or discomfort, a high temperature, aheadache, aching muscles, tiredness"
