timestamp,model,boala_introdusa,simptome_generate
2025-04-14 01:58:29,best_model_trained_model_v1_epoch_6,Heart Attack,"Fatigue, chest pain, confusion, tingling"
2025-04-14 01:58:40,best_model_trained_model_v1_epoch_6,Pneumonia,"Fever, nausea, vomiting, confusion, insomnia, respiratory distress"
2025-04-14 01:58:44,best_model_trained_model_v1_epoch_6,Malaria,"Fever, fatigue, numbness, swollen lymph nodes, weakness, confusion"
2025-04-14 01:58:51,best_model_trained_model_v1_epoch_6,Depression,"Shortness of breath, dizziness, trouble concentrating, headache, tremors"
2025-04-14 02:56:52,model__epoch_7,Depression,"Mood changes, altered mood, mood swings"
2025-04-14 02:57:01,model__epoch_7,Heart Attack,"Severe heart palpitations, wheezing, chest pain, fatigue, difficulty breathing"
2025-04-14 02:57:08,model__epoch_7,Pneumonia,"Wheezing, fever, abdominal pain, loss of appetite"
2025-04-14 02:57:16,model__epoch_7,Diabetes,"High blood sugar, high blood sugar levels"
2025-04-14 02:57:26,model__epoch_7,Depression,"Decreased coordination, decreased blood flow, decreased sensitivity to light"
2025-04-14 02:57:33,model__epoch_7,Diabetes,"Fatigue, dry mouth, weight loss"
2025-04-14 03:16:36,model__epoch_9,Pneumonia,"Rapid heart rate (heart rate) or chest pain, fatigue, weakness, dry throat"
2025-04-14 03:16:45,model__epoch_9,Heart Attack,"Chest pain, weight gain, nausea, vomiting, respiratory distress, seizures"
2025-04-14 03:16:53,model__epoch_9,Depression,"Increased alertness, decreased appetite, headache"
2025-04-14 03:17:08,model__epoch_9,Diabetes,"High blood pressure, frequent urination or drip, frequent use of birth control drugs"
2025-04-14 03:18:03,model__epoch_9,Malaria,"Severe abdominal pain, fever, abdominal pain, fatigue, weight loss"
2025-04-14 14:10:50,model__epoch_9,Heart Attack,"Chest pain, headache"
2025-04-14 14:11:14,model__epoch_9,Pneumonia,"Fever, shortness  breath  cough"
2025-04-14 14:11:27,model__epoch_9,Depression,"Mood changes, loss  appetite  muscle strength"
2025-04-14 14:11:40,model__epoch_9,Malaria,"Severe eye pain  discomfort, fatigue"
2025-04-14 14:13:53,model__epoch_9,Depression,"Disease: depression
symptoms: dizziness, nausea  vomiting, pale skin"
2025-04-14 14:14:31,model__epoch_9,Pneumonia,"Disease: pneumonia
symptoms: abdominal pain, bloating"
2025-04-14 14:19:12,model__epoch_9,Heart Attack,"Chest pain, difficulty breathing"
2025-04-14 14:19:24,model__epoch_9,Pneumonia,"Frequent urination, chest pain"
2025-04-14 14:19:44,model__epoch_9,Depression,"Increased self-esteem, decreased mood"
2025-04-14 14:20:42,model__epoch_9,Malaria,"Skin redness, fever  short stature"
2025-04-14 14:45:13,model__epoch_10,Depression,"Increased anxiety, irritability, changes in mood  behaviors"
2025-04-14 14:45:34,model__epoch_10,Heart Attack,"Chest pain, headache  stiffness in the heart  limbs"
2025-04-14 14:45:57,model__epoch_10,Pneumonia,"Pneumonia, redness  pale skin"
2025-04-14 14:46:15,model__epoch_10,Pneumonia,"Fever, muscle pain  tenderness, severe chest  back injuries"
2025-04-14 14:46:31,model__epoch_10,Malaria,"Itching, redness  shortening  breath"
2025-04-14 14:49:06,model__epoch_10,Malaria,"Itching, pain  discomfort in the affected area"
2025-04-14 14:49:27,model__epoch_10,Heart Attack,"Chest pain, weakness  numbness, increased heart rate  blood pressure in the legs"
2025-04-14 14:49:42,model__epoch_10,Depression,"Heavy  prolonged sleep, reduced appetite"
